Comment,Designator,Footprint,LCSC Part #
0R,R7 R19,RESC2012X65,
0R,R20,RESC3216X70,
0R,R21,RESC2012X65,
1.2k,R15,RESC2012X65,
1k,R2 R4 R34,RESC2012X65,
1k || 1k,R33 R39,RESC2012X65,
1nF,C55 C56 C63 C64,CAPC2012X110,
1uF,C50,CAPC2012X110,
2.2uF,C33,CAPC2012X110,
2.7k,R23 R27 R31,RESC2012X65,
3.3k,R26,RESC2012X65,
3.9k,R3 R5,RESC2012X65,
4.7k,R12 R22,RESC2012X65,
4.7nF,C19 C26,CAPC2012X110,
5.3pF,C30,CAPC2012X110,
10R,R6 R8 R17 R18,RESC2012X65,
10k,R1 R24 R25 R30 R32 R35 R37,RESC2012X65,
10nF,C2 C3 C11 C16 C23 C27,CAPC2012X110,
10nF,C37 C40,CAPC3216X135,
10nF,C46,CAPC2012X110,
10nF,C49,CAPC3216X135,
10nF,C51 C57 C58 C59 C65,CAPC2012X110,
10uF,C17,CAPC2012X110,
15T @ FT37-43,L14,AIR-COIL-SMD,
15nH,L9 L11,INDC3216X190,
15µH,L8,1260,
18R,R10,RESC2012X65,
18k,R11,RESC2012X65,
22pF,C4 C14,CAPC2012X110,
22pF,C32 C36 C42 C43,CAPC3216X135,
22uF,C20 C25,SMC_D,
33uH,L6,1260,
39pF,C6 C10,CAPC2012X110,
39pF,C35,CAPC3216X135,
50R,X4,J502-ND-142-0711-821/826,
55nH,L13,INDC3216X190,
68nH,L1 L4,INDC2009X120,
68nH,L10 L12,AIR-COIL-SMD,
82nH,L3,INDC2009X120,
82pF,C28 C31,CAPC2012X110,
100R,R28 R29 R36 R38,RESC2012X65,
100nF,C5 C7 C9 C12 C24 C34 C38 C39 C41 C44 C45 C47 C48,CAPC2012X110,
100nF,C52 C53 C54 C60 C61 C62,CAPC1608X85,
100uF,C8,CAPAE1030X1050N,
100uF / 10V,C29,CAPMP7343X310N,
150R,R13,RESC2012X65,
220pF,C13,CAPC2012X110,
220uF / 10V,C22,CAPMP7343X310N,
228nH,L15,INDC3216X190,
270R,R9 R14,RESC2012X65,
330nF,C18,CAPC2012X110,
330pF,C21,CAPC2012X110,
470uF / 35V,C15,CAPAE1030X1050N,
620nH,L7,INDC2009X120,
680R||820R,R16,RESC2012X65,
1000uF,C1,CAPAE1030X1050N,
BAP64-02,D1 D2,SOD523,
BAT15,D6 D8,SOD-323,
F2255NLGK,U10 U11,QFN50P300X300X100-17N,
LM2596S,U6,TO263-5,
MA4P7104F,D5 D7,SODFL5336X110,
MBRS340,D3 D4,DIOM7959X625N,
MCP4728A0-E,U5,MSOP10_MC_MCH-M,
MMBT3904,T1,SOT23-BEC,
MMBT3906,T2,SOT23-BEC,
NFL21SP106,U7 U8 U9,NFM21C,
PGA-103+,U1,SOT89,
RA60H1317M1A,U2,RA60H1317M1A,
RFC,L2,T50-6SMD,
TCCH-80+,L5,TCCH-80,
TPS7A4501DCQT,U4,DCQ6,
TPSTP10SQ,TP1 TP2 TP3 TP4 TP5,TP10SQ,
TX-IN  RX-OUT,X1,J502-ND-142-0711-821/826,
