Designator,Mid X,Mid Y,Layer,Rotation
C1,70.80,23.50,Top,0.0
C2,18.41,55.56,Top,270.0
C3,76.52, 8.57,Top,180.0
C4, 6.03,49.85,Top,270.0
C5,71.12,30.80,Top,180.0
C6, 9.53,49.85,Top,270.0
C7,12.07,56.52,Top,0.0
C8,70.80,46.67,Top,0.0
C9,60.96,40.96,Top,0.0
C10,13.02,49.85,Top,270.0
C11,21.27,53.02,Top,180.0
C12,77.79,12.70,Top,0.0
C13,60.96,43.50,Top,0.0
C14,16.51,49.85,Top,270.0
C15,55.88,23.50,Top,270.0
C16,83.50,10.16,Top,180.0
C17,86.36,15.24,Top,180.0
C18,89.54,15.24,Top,0.0
C19,40.70,53.98,Top,180.0
C20,42.86,50.16,Top,0.0
C21,88.58, 1.91,Top,0.0
C22,31.12,22.54,Top,270.0
C23,92.39, 9.84,Top,180.0
C24,49.21,35.56,Top,90.0
C25,59.69,50.16,Top,180.0
C26,61.28,53.98,Top,180.0
C27,37.78,26.35,Top,180.0
C28,103.19,10.48,Top,270.0
C29,24.13,13.02,Top,0.0
C30,108.59,10.48,Top,90.0
C31,111.76,10.48,Top,270.0
C32,89.34,61.28,Top,0.0
C33,84.77,20.64,Top,90.0
C34,87.95,20.64,Top,90.0
C35,84.65,48.51,Top,180.0
C36,84.71,37.02,Top,180.0
C37,89.22,37.02,Top,180.0
C38,91.44,18.73,Top,180.0
C39,95.38,45.72,Top,0.0
C40,106.36,38.99,Top,90.0
C41,116.21,43.50,Top,0.0
C42,102.55,29.85,Top,180.0
C43,102.55,26.04,Top,180.0
C44,110.17,29.08,Top,90.0
C45,96.84,66.67,Top,180.0
C46,99.06,17.14,Top,180.0
C47,14.29,39.69,Top,180.0
C48,46.67,18.73,Top,180.0
C49,107.63,19.05,Top,180.0
C50,14.29,42.23,Top,180.0
C51,34.42,53.34,Top,180.0
C52,27.62,49.85,Top,270.0
C53,29.21,49.85,Top,270.0
C54,30.80,49.85,Top,270.0
C55,26.04,58.10,Top,90.0
C56,28.58,58.10,Top,90.0
C57,24.77,61.91,Top,0.0
C58,29.85,61.91,Top,180.0
C59,100.65,10.48,Top,270.0
C60,95.31, 6.48,Top,270.0
C61,96.90, 6.48,Top,270.0
C62,98.49, 6.48,Top,270.0
C63,95.57,14.29,Top,90.0
C64,97.79,14.29,Top,90.0
C65,95.25,17.14,Top,0.0
D1,20.45,55.56,Top,90.0
D2,80.01, 9.46,Top,90.0
D3,45.09,23.50,Top,0.0
D4, 9.84,13.34,Top,0.0
D5,97.47,36.83,Top,180.0
D6,112.71,43.50,Top,180.0
D7,104.14,22.54,Top,0.0
D8,98.74,64.14,Top,0.0
L1, 7.11,52.71,Top,0.0
L2,66.36,36.20,Top,90.0
L3,10.48,52.71,Top,0.0
L4,13.97,52.71,Top,0.0
L5,87.31,11.43,Top,180.0
L6,36.51,33.97,Top,0.0
L7,91.44, 6.99,Top,90.0
L8,21.91,23.50,Top,90.0
L9,103.51,14.61,Top,270.0
L10,87.00,53.98,Top,270.0
L11,108.59,14.61,Top,270.0
L12,87.00,42.74,Top,270.0
L13,106.36,27.94,Top,270.0
L14,95.25,42.55,Top,0.0
L15,106.05, 9.84,Top,270.0
R1,96.84,69.22,Top,180.0
R2,80.01, 6.35,Top,270.0
R3,15.24,56.52,Top,0.0
R4,20.26,49.85,Top,270.0
R5,81.60,12.70,Top,0.0
R6,23.81,58.10,Top,270.0
R7,17.46,52.71,Top,180.0
R8,30.80,58.10,Top,90.0
R9,25.53,49.85,Top,270.0
R10,24.77,53.02,Top,0.0
R11,52.39,38.73,Top,90.0
R12,52.39,35.56,Top,90.0
R13,91.44, 2.86,Top,90.0
R14,22.35,49.85,Top,270.0
R15,37.78,23.81,Top,180.0
R16,37.78,21.27,Top,0.0
R17,93.34,14.29,Top,270.0
R18,100.01,14.29,Top,90.0
R19,82.55, 6.35,Top,90.0
R20,84.58,61.28,Top,180.0
R21,111.76,13.84,Top,270.0
R22,50.36,59.69,Top,180.0
R23,11.43,60.33,Top,270.0
R24,116.21,46.04,Top,180.0
R25,91.44,21.27,Top,0.0
R26,93.98,24.13,Top,90.0
R27,113.03,22.23,Top,0.0
R28,97.79,52.07,Top,0.0
R29,97.79,49.53,Top,0.0
R30, 6.99,38.29,Top,270.0
R31,81.60,17.78,Top,270.0
R32, 9.40,38.29,Top,270.0
R33,113.98,34.93,Top,90.0
R34,115.89,27.30,Top,270.0
R35,110.17,23.50,Top,270.0
R36,116.21,57.79,Top,180.0
R37,112.71,29.08,Top,270.0
R38,116.21,55.25,Top,180.0
R39,117.16,34.93,Top,90.0
T1,113.03,25.40,Top,0.0
T2,115.57,31.12,Top,0.0
TP1, 2.54,13.34,Top,180.0
TP2,106.05,13.02,Top,0.0
TP3,91.44,12.07,Top,0.0
TP4,84.14,12.70,Top,0.0
TP5,18.41,50.80,Top,0.0
U1,87.63, 6.03,Top,180.0
U2,55.56,75.56,Top,0.0
U4,89.22,26.67,Top,0.0
U5,14.29,36.51,Top,0.0
U6,40.32,12.70,Top,180.0
U7,14.29,60.01,Top,270.0
U8,78.74,17.46,Top,270.0
U9,100.01,45.72,Top,180.0
U10,29.15,53.66,Top,0.0
U11,96.84,10.16,Top,0.0
X1, 0.00,56.52,Top,0.0
X4,120.00,65.41,Top,180.0
